player_id,first_name,last_name,full_name,team_abbreviation
1630551,Justin,Champagnie,Justin Champagnie,WAS
1630536,Sharife,Cooper,Sharife Cooper,WAS
1630264,Anthony,Gill,Anthony Gill,WAS
1628963,Marvin,Bagley III,Marvin Bagley III,WAS
203468,CJ,McCollum,CJ McCollum,WAS
203114,Khris,Middleton,Khris Middleton,WAS
1642914,Javon,Small,Javon Small,MEM
1642907,Cedric,Coward,Cedric Coward,MEM
1642377,Jaylen,Wells,Jaylen Wells,MEM
1642285,Cam,Spencer,Cam Spencer,MEM
1641765,Olivier-Maxence,Prosper,Olivier-Maxence Prosper,MEM
1630583,Santi,Aldama,Santi Aldama,MEM
1629723,John,Konchar,John Konchar,MEM
1629630,Ja,Morant,Ja Morant,MEM
1629111,Jock,Landale,Jock Landale,MEM
1628991,Jaren,Jackson Jr.,Jaren Jackson Jr.,MEM
203484,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,MEM
1642419,Jamison,Battle,Jamison Battle,TOR
1642367,Jonathan,Mogbo,Jonathan Mogbo,TOR
1642347,Jamal,Shead,Jamal Shead,TOR
1641711,Gradey,Dick,Gradey Dick,TOR
1630572,Sandro,Mamukelashvili,Sandro Mamukelashvili,TOR
1630567,Scottie,Barnes,Scottie Barnes,TOR
1630534,Ochai,Agbaji,Ochai Agbaji,TOR
1630193,Immanuel,Quickley,Immanuel Quickley,TOR
1629628,RJ,Barrett,RJ Barrett,TOR
1627751,Jakob,Poeltl,Jakob Poeltl,TOR
1627742,Brandon,Ingram,Brandon Ingram,TOR
1641748,Andre,Jackson Jr.,Andre Jackson Jr.,MIL
1631260,AJ,Green,AJ Green,MIL
1631157,Ryan,Rollins,Ryan Rollins,MIL
1630579,Jericho,Sims,Jericho Sims,MIL
1630175,Cole,Anthony,Cole Anthony,MIL
1629645,Kevin,Porter Jr.,Kevin Porter Jr.,MIL
1629599,Amir,Coffey,Amir Coffey,MIL
1629018,Gary,Trent Jr.,Gary Trent Jr.,MIL
1628398,Kyle,Kuzma,Kyle Kuzma,MIL
1627752,Taurean,Prince,Taurean Prince,MIL
1626171,Bobby,Portis,Bobby Portis,MIL
1626167,Myles,Turner,Myles Turner,MIL
203914,Gary,Harris,Gary Harris,MIL
203648,Thanasis,Antetokounmpo,Thanasis Antetokounmpo,MIL
203507,Giannis,Antetokounmpo,Giannis Antetokounmpo,MIL
1641824,Matas,Buzelis,Matas Buzelis,CHI
1631207,Dalen,Terry,Dalen Terry,CHI
1630581,Josh,Giddey,Josh Giddey,CHI
1630245,Ayo,Dosunmu,Ayo Dosunmu,CHI
1630200,Tre,Jones,Tre Jones,CHI
1630188,Jalen,Smith,Jalen Smith,CHI
1630172,Patrick,Williams,Patrick Williams,CHI
1630171,Isaac,Okoro,Isaac Okoro,CHI
1628989,Kevin,Huerter,Kevin Huerter,CHI
202696,Nikola,Vučević,Nikola Vučević,CHI
1642852,Derik,Queen,Derik Queen,NOP
1642847,Jeremiah,Fears,Jeremiah Fears,NOP
1642274,Yves,Missi,Yves Missi,NOP
1641722,Jordan,Hawkins,Jordan Hawkins,NOP
1630621,Hunter,Dickinson,Hunter Dickinson,NOP
1630530,Trey,Murphy III,Trey Murphy III,NOP
1630529,Herbert,Jones,Herbert Jones,NOP
1630180,Saddiq,Bey,Saddiq Bey,NOP
1629673,Jordan,Poole,Jordan Poole,NOP
1629627,Zion,Williamson,Zion Williamson,NOP
1642258,Zaccharie,Risacher,Zaccharie Risacher,ATL
1631243,Mouhamed,Gueye,Mouhamed Gueye,ATL
1630811,Keaton,Wallace,Keaton Wallace,ATL
1630700,Dyson,Daniels,Dyson Daniels,ATL
1630552,Jalen,Johnson,Jalen Johnson,ATL
1630168,Onyeka,Okongwu,Onyeka Okongwu,ATL
1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,ATL
1629027,Trae,Young,Trae Young,ATL
1628379,Luke,Kennard,Luke Kennard,ATL
204001,Kristaps,Porziņģis,Kristaps Porziņģis,ATL
1642846,Ace,Bailey,Ace Bailey,UTA
1642383,Walter,Clayton Jr.,Walter Clayton Jr.,UTA
1642271,Kyle,Filipowski,Kyle Filipowski,UTA
1642262,Cody,Williams,Cody Williams,UTA
1641729,Brice,Sensabaugh,Brice Sensabaugh,UTA
1641718,Keyonte,George,Keyonte George,UTA
1641707,Taylor,Hendricks,Taylor Hendricks,UTA
1631117,Walker,Kessler,Walker Kessler,UTA
1629004,Svi,Mykhailiuk,Svi Mykhailiuk,UTA
1628374,Lauri,Markkanen,Lauri Markkanen,UTA
203994,Jusuf,Nurkić,Jusuf Nurkić,UTA
1642949,Yanic,Konan Niederhäuser,Yanic Konan Niederhäuser,LAC
1642920,Kobe,Sanders,Kobe Sanders,LAC
1642353,Cam,Christie,Cam Christie,LAC
1641738,Kobe,Brown,Kobe Brown,LAC
1628381,John,Collins,John Collins,LAC
1627884,Derrick,Jones Jr.,Derrick Jones Jr.,LAC
1627826,Ivica,Zubac,Ivica Zubac,LAC
1627739,Kris,Dunn,Kris Dunn,LAC
203078,Bradley,Beal,Bradley Beal,LAC
202695,Kawhi,Leonard,Kawhi Leonard,LAC
201935,James,Harden,James Harden,LAC
201587,Nicolas,Batum,Nicolas Batum,LAC
201572,Brook,Lopez,Brook Lopez,LAC
101108,Chris,Paul,Chris Paul,LAC
1628378,Donovan,Mitchell,Donovan Mitchell,CLE
1642868,Carter,Bryant,Carter Bryant,SAS
1642844,Dylan,Harper,Dylan Harper,SAS
1642434,Riley,Minix,Riley Minix,SAS
1642357,David,Jones Garcia,David Jones Garcia,SAS
1642264,Stephon,Castle,Stephon Castle,SAS
1641705,Victor,Wembanyama,Victor Wembanyama,SAS
1631127,Harrison,Ingram,Harrison Ingram,SAS
1630577,Julian,Champagnie,Julian Champagnie,SAS
1630170,Devin,Vassell,Devin Vassell,SAS
1629640,Keldon,Johnson,Keldon Johnson,SAS
1629162,Jordan,McLaughlin,Jordan McLaughlin,SAS
1628436,Luke,Kornet,Luke Kornet,SAS
203084,Harrison,Barnes,Harrison Barnes,SAS
202687,Bismack,Biyombo,Bismack Biyombo,SAS
1642928,Dylan,Cardwell,Dylan Cardwell,SAC
1642875,Maxime,Raynaud,Maxime Raynaud,SAC
1642363,Nique,Clifford,Nique Clifford,SAC
1631165,Keon,Ellis,Keon Ellis,SAC
1629234,Drew,Eubanks,Drew Eubanks,SAC
1628370,Malik,Monk,Malik Monk,SAC
203967,Dario,Saric,Dario Saric,SAC
203897,Zach,LaVine,Zach LaVine,SAC
203471,Dennis,Schröder,Dennis Schröder,SAC
201566,Russell,Westbrook,Russell Westbrook,SAC
1642905,Yang,Hansen,Yang Hansen,POR
1642270,Donovan,Clingan,Donovan Clingan,POR
1641739,Toumani,Camara,Toumani Camara,POR
1631200,Kris,Murray,Kris Murray,POR
1631104,Blake,Wesley,Blake Wesley,POR
1631101,Shaedon,Sharpe,Shaedon Sharpe,POR
1630166,Deni,Avdija,Deni Avdija,POR
1629680,Matisse,Thybulle,Matisse Thybulle,POR
203924,Jerami,Grant,Jerami Grant,POR
201950,Jrue,Holiday,Jrue Holiday,POR
1642346,Ryan,Dunn,Ryan Dunn,PHX
1642345,Oso,Ighodaro,Oso Ighodaro,PHX
1631221,Collin,Gillespie,Collin Gillespie,PHX
1631109,Mark,Williams,Mark Williams,PHX
1630208,Nick,Richards,Nick Richards,PHX
1628960,Grayson,Allen,Grayson Allen,PHX
1628502,Nigel,Hayes-Davis,Nigel Hayes-Davis,PHX
1628415,Dillon,Brooks,Dillon Brooks,PHX
1626220,Royce,O'Neale,Royce O'Neale,PHX
1626164,Devin,Booker,Devin Booker,PHX
1641740,Jaylen,Clark,Jaylen Clark,MIN
1630545,Terrence,Shannon Jr.,Terrence Shannon Jr.,MIN
1630538,Bones,Hyland,Bones Hyland,MIN
1630183,Jaden,McDaniels,Jaden McDaniels,MIN
1630162,Anthony,Edwards,Anthony Edwards,MIN
1629675,Naz,Reid,Naz Reid,MIN
1628978,Donte,DiVincenzo,Donte DiVincenzo,MIN
203944,Julius,Randle,Julius Randle,MIN
203497,Rudy,Gobert,Rudy Gobert,MIN
201144,Mike,Conley,Mike Conley,MIN
1642948,Ryan,Nembhard,Ryan Nembhard,DAL
1642843,Cooper,Flagg,Cooper Flagg,DAL
1641726,Dereck,Lively II,Dereck Lively II,DAL
1631108,Max,Christie,Max Christie,DAL
